City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
London,2012,Aquatics,Swimming,,,,50m Freestyle,W,Gold
London,2012,Aquatics,Swimming,,,,100m Freestyle,W,Gold
London,2012,Aquatics,Swimming,,,,200m Freestyle,W,Gold
London,2012,Aquatics,Swimming,,,,400m Freestyle,W,Gold
London,2012,Aquatics,Swimming,,,,800m Freestyle,W,Gold
London,2012,Aquatics,Swimming,,,,1500m Freestyle,W,Gold
London,2012,Aquatics,Swimming,,,,100m Backstroke,W,Gold
London,2012,Aquatics,Swimming,,,,200m Backstroke,W,Gold
London,2012,Aquatics,Swimming,,,,100m Breaststroke,W,Gold
London,2012,Aquatics,Swimming,,,,200m Breaststroke,W,Gold
London,2012,Aquatics,Swimming,,,,100m Butterfly,W,Gold
London,2012,Aquatics,Swimming,,,,200m Butterfly,W,Gold
London,2012,Aquatics,Swimming,,,,200m Individual medley,W,Gold
London,2012,Aquatics,Swimming,,,,400m Individual medley,W,Gold
London,2012,Aquatics,Swimming,,,,4x100m Freestyle Relay,W,Gold
London,2012,Aquatics,Swimming,,,,4x200m Freestyle Relay,W,Gold
London,2012,Aquatics,Swimming,,,,marathon 10km,W,Gold
London,2012,Aquatics,Swimming,,,,marathon 10km,W,Gold
London,2012,Aquatics,Diving,,,,10m Platform,W,Gold
London,2012,Aquatics,Diving,,,,3m Springboard,W,Gold
London,2012,Aquatics,Diving,,,,Synchronised 10m Platform,W,Gold
London,2012,Aquatics,Diving,,,,Synchronised 3m Springboard,W,Gold
London,2012,Aquatics,Synchronised S.,,,,Duets,W,Gold
London,2012,Aquatics,Synchronised S.,,,,Teams,W,Gold
London,2012,Aquatics,Water polo,,,,Water polo,W,Gold
London,2012,Archery,Archery,,,,Individual,W,Gold
London,2012,Archery,Archery,,,,Team,W,Gold
London,2012,Athletics,Athletics,,,,Heptathlon,W,Gold
London,2012,Athletics,Athletics,,,,High Jump,W,Gold
London,2012,Athletics,Athletics,,,,Long Jump,W,Gold
London,2012,Athletics,Athletics,,,,Pole Vault,W,Gold
London,2012,Athletics,Athletics,,,,Triple Jump,W,Gold
London,2012,Athletics,Athletics,,,,20km Walk,W,Gold
London,2012,Athletics,Athletics,,,,Marathon,W,Gold
London,2012,Athletics,Athletics,,,,Discus Throw,W,Gold
London,2012,Athletics,Athletics,,,,Hammer Throw,W,Gold
London,2012,Athletics,Athletics,,,,Javelin Throw,W,Gold
London,2012,Athletics,Athletics,,,,Shot Put,W,Gold
London,2012,Athletics,Athletics,,,,"10,000m",W,Gold
London,2012,Athletics,Athletics,,,,100m,W,Gold
London,2012,Athletics,Athletics,,,,100m Hurdles,W,Gold
London,2012,Athletics,Athletics,,,,1500m,W,Gold
London,2012,Athletics,Athletics,,,,200m,W,Gold
London,2012,Athletics,Athletics,,,,3000m Steeplechase,W,Gold
London,2012,Athletics,Athletics,,,,4 x 100m Relay,W,Gold
London,2012,Athletics,Athletics,,,,4 x 400m Relay,W,Gold
London,2012,Athletics,Athletics,,,,400m,W,Gold
London,2012,Athletics,Athletics,,,,400m Hurdles,W,Gold
London,2012,Athletics,Athletics,,,,5000m,W,Gold
London,2012,Athletics,Athletics,,,,800m,W,Gold
London,2012,Badminton,Badminton,,,,Doubles,W,Gold
London,2012,Badminton,Badminton,,,,Singles,W,Gold
London,2012,Basketball,Basketball,,,,Basketball,W,Gold
London,2012,Boxing,Boxing,,,,Fly (48-51kg),W,Gold
London,2012,Boxing,Boxing,,,,Light (57-60kg),W,Gold
London,2012,Boxing,Boxing,,,,Middle (69-75kg),W,Gold
London,2012,Canoe / Kayak,Canoe / Kayak S,,,,Kayak (K1),W,Gold
London,2012,Canoe / Kayak,Canoe / Kayak F,,,,Kayak Double 500m,W,Gold
London,2012,Canoe / Kayak,Canoe / Kayak F,,,,Kayak Four 500m,W,Gold
London,2012,Canoe / Kayak,Canoe / Kayak F,,,,Kayak Single 200m,W,Gold
London,2012,Canoe / Kayak,Canoe / Kayak F,,,,Kayak Single 500m,W,Gold
London,2012,Cycling,BMX,,,,BMX,W,Gold
London,2012,Cycling,Mountain Bike,,,,Cross-country,W,Gold
London,2012,Cycling,Cycling Road,,,,Individual Time Trial,W,Gold
London,2012,Cycling,Cycling Road,,,,Road Race,W,Gold
London,2012,Cycling,Cycling Track,,,,Keirin,W,Gold
London,2012,Cycling,Cycling Track,,,,Omnium,W,Gold
London,2012,Cycling,Cycling Track,,,,Sprint,W,Gold
London,2012,Cycling,Cycling Track,,,,Team Pursuit,W,Gold
London,2012,Cycling,Cycling Track,,,,Team Sprint,W,Gold
London,2012,Fencing,Fencing,,,,Foil Individual,W,Gold
London,2012,Fencing,Fencing,,,,Sabre Individual,W,Gold
London,2012,Fencing,Fencing,,,,å_påå©e Individual,W,Gold
London,2012,Fencing,Fencing,,,,Foil Team,W,Gold
London,2012,Fencing,Fencing,,,,å_påå©e Team,W,Gold
London,2012,Football,Football,,,,Football,W,Gold
London,2012,Gymnastics,Artistic G.,,,,Balance Beam,W,Gold
London,2012,Gymnastics,Artistic G.,,,,Floor Exercise,W,Gold
London,2012,Gymnastics,Artistic G.,,,,Individual All-Around,W,Gold
London,2012,Gymnastics,Artistic G.,,,,Team,W,Gold
London,2012,Gymnastics,Artistic G.,,,,Uneven Bars,W,Gold
London,2012,Gymnastics,Artistic G.,,,,Vault,W,Gold
London,2012,Gymnastics,Rhythmic G.,,,,Group All-Around,W,Gold
London,2012,Gymnastics,Rhythmic G.,,,,Individual All-Around,W,Gold
