City,Edition,Sport,Discipline,Athelete,NOC,Gender,Event,Event_gender,Medal,,City,Edition,Sport,Discipline,Athelete,NOC,Gender,Event,Event_gender,,
Rio de Janeiro,2016,Aquatics,Swimming,,,,100m Backstroke,F,Gold,,London,2012,Aquatics,Swimming,,,,50m Freestyle,F,,
Rio de Janeiro,2016,Aquatics,Swimming,,,,200m Backstroke,F,Gold,,London,2012,Aquatics,Swimming,,,,100m Freestyle,F,,
Rio de Janeiro,2016,Aquatics,Swimming,,,,100m Backstroke,M,Gold,,London,2012,Aquatics,Swimming,,,,200m Freestyle,F,,
Rio de Janeiro,2016,Aquatics,Swimming,,,,200m Backstroke,M,Gold,,London,2012,Aquatics,Swimming,,,,400m Freestyle,F,,
Rio de Janeiro,2016,Aquatics,Swimming,,,,100m Breaststroke,F,Gold,,London,2012,Aquatics,Swimming,,,,800m Freestyle,F,,
Rio de Janeiro,2016,Aquatics,Swimming,,,,200m Breaststroke,F,Gold,,London,2012,Aquatics,Swimming,,,,1500m Freestyle,F,,
Rio de Janeiro,2016,Aquatics,Swimming,,,,100m Breaststroke,M,Gold,,London,2012,Aquatics,Swimming,,,,50m Freestyle,M,,
Rio de Janeiro,2016,Aquatics,Swimming,,,,200m Breaststroke,M,Gold,,London,2012,Aquatics,Swimming,,,,100m Freestyle,M,,
Rio de Janeiro,2016,Aquatics,Swimming,,,,100m Butterfly,F,Gold,,London,2012,Aquatics,Swimming,,,,200m Freestyle,M,,
Rio de Janeiro,2016,Aquatics,Swimming,,,,200m Butterfly,F,Gold,,London,2012,Aquatics,Swimming,,,,400m Freestyle,M,,
Rio de Janeiro,2016,Aquatics,Swimming,,,,100m Butterfly,M,Gold,,London,2012,Aquatics,Swimming,,,,800m Freestyle,M,,
Rio de Janeiro,2016,Aquatics,Swimming,,,,200m Butterfly,M,Gold,,London,2012,Aquatics,Swimming,,,,1500m Freestyle,M,,
Rio de Janeiro,2016,Aquatics,Diving,,,,10m Platform,F,Gold,,London,2012,Aquatics,Swimming,,,,100m Backstroke,M,,
Rio de Janeiro,2016,Aquatics,Diving,,,,3m Springboard,F,Gold,,London,2012,Aquatics,Swimming,,,,200m Backstroke,M,,
Rio de Janeiro,2016,Aquatics,Diving,,,,Synchronised 10m Platform,F,Gold,,London,2012,Aquatics,Swimming,,,,100m Backstroke,F,,
Rio de Janeiro,2016,Aquatics,Diving,,,,Synchronised 3m Springboard,F,Gold,,London,2012,Aquatics,Swimming,,,,200m Backstroke,F,,
Rio de Janeiro,2016,Aquatics,Diving,,,,10m Platform,M,Gold,,London,2012,Aquatics,Swimming,,,,100m Breaststroke,M,,
Rio de Janeiro,2016,Aquatics,Diving,,,,3m Springboard,M,Gold,,London,2012,Aquatics,Swimming,,,,200m Breaststroke,M,,
Rio de Janeiro,2016,Aquatics,Diving,,,,Synchronised 10m Platform,M,Gold,,London,2012,Aquatics,Swimming,,,,100m Breaststroke,F,,
Rio de Janeiro,2016,Aquatics,Diving,,,,Synchronised 3m Springboard,M,Gold,,London,2012,Aquatics,Swimming,,,,200m Breaststroke,F,,
Rio de Janeiro,2016,Aquatics,Swimming,,,,100m Freestyle,F,Gold,,London,2012,Aquatics,Swimming,,,,100m Butterfly,M,,
Rio de Janeiro,2016,Aquatics,Swimming,,,,200m Freestyle,F,Gold,,London,2012,Aquatics,Swimming,,,,200m Butterfly,M,,
Rio de Janeiro,2016,Aquatics,Swimming,,,,4 x 100m Freestyle Relay,F,Gold,,London,2012,Aquatics,Swimming,,,,100m Butterfly,F,,
Rio de Janeiro,2016,Aquatics,Swimming,,,,4 x 200m Freestyle Relay,F,Gold,,London,2012,Aquatics,Swimming,,,,200m Butterfly,F,,
Rio de Janeiro,2016,Aquatics,Swimming,,,,400m Freestyle,F,Gold,,London,2012,Aquatics,Swimming,,,,200m Individual medley,M,,
Rio de Janeiro,2016,Aquatics,Swimming,,,,50m Freestyle,F,Gold,,London,2012,Aquatics,Swimming,,,,400m Individual medley,M,,
Rio de Janeiro,2016,Aquatics,Swimming,,,,800m Freestyle,F,Gold,,London,2012,Aquatics,Swimming,,,,200m Individual medley,F,,
Rio de Janeiro,2016,Aquatics,Swimming,,,,100m Freestyle,M,Gold,,London,2012,Aquatics,Swimming,,,,400m Individual medley,F,,
Rio de Janeiro,2016,Aquatics,Swimming,,,,1500m Freestyle,M,Gold,,London,2012,Aquatics,Swimming,,,,4x100m Freestyle Relay,M,,
Rio de Janeiro,2016,Aquatics,Swimming,,,,200m Freestyle,M,Gold,,London,2012,Aquatics,Swimming,,,,4x200m Freestyle Relay,M,,
Rio de Janeiro,2016,Aquatics,Swimming,,,,4 x 100m Freestyle Relay,M,Gold,,London,2012,Aquatics,Swimming,,,,4x100m Freestyle Relay,F,,
Rio de Janeiro,2016,Aquatics,Swimming,,,,4 x 200m Freestyle Relay,M,Gold,,London,2012,Aquatics,Swimming,,,,4x200m Freestyle Relay,F,,
Rio de Janeiro,2016,Aquatics,Swimming,,,,400m Freestyle,M,Gold,,London,2012,Aquatics,Swimming,,,,4x100m Medley Relay,M,,
Rio de Janeiro,2016,Aquatics,Swimming,,,,50m Freestyle,M,Gold,,London,2012,Aquatics,Swimming,,,,4x100m Medley Relay,M,,
