"Edition"	"Discipline"	"Event_gender"	"c"
"1896"	"artistic g."	"m"	8
"1896"	"athletics"	"m"	12
"1896"	"cycling road"	"m"	1
"1896"	"cycling track"	"m"	5
"1896"	"fencing"	"m"	3
"1896"	"shooting"	"m"	5
"1896"	"swimming"	"m"	4
"1896"	"tennis"	"m"	2
"1896"	"weightlifting"	"m"	2
"1896"	"wrestling gre-r"	"m"	1
"1900"	"archery"	"m"	6
"1900"	"artistic g."	"m"	1
"1900"	"athletics"	"m"	23
"1900"	"basque pelota"	"m"	1
"1900"	"cricket"	"m"	1
"1900"	"croquet"	"m"	3
"1900"	"cycling track"	"m"	2
"1900"	"fencing"	"m"	7
"1900"	"football"	"m"	1
"1900"	"golf"	"m"	1
"1900"	"golf"	"w"	1
"1900"	"jumping"	"x"	3
"1900"	"polo"	"m"	1
"1900"	"rowing"	"m"	4
"1900"	"rugby"	"m"	1
"1900"	"sailing"	"x"	4
"1900"	"shooting"	"m"	9
"1900"	"swimming"	"m"	7
"1900"	"tennis"	"m"	2
"1900"	"tennis"	"w"	1
"1900"	"tennis"	"x"	1
"1900"	"tug of war"	"m"	1
"1900"	"water polo"	"m"	1
"1904"	"archery"	"m"	3
"1904"	"archery"	"w"	3
"1904"	"artistic g."	"m"	11
"1904"	"athletics"	"m"	25
"1904"	"boxing"	"m"	7
"1904"	"cycling track"	"m"	7
"1904"	"diving"	"m"	2
"1904"	"fencing"	"m"	5
"1904"	"football"	"m"	1
"1904"	"golf"	"m"	2
"1904"	"lacrosse"	"m"	1
"1904"	"roque"	"m"	1
"1904"	"rowing"	"m"	5
"1904"	"swimming"	"m"	9
"1904"	"tennis"	"m"	2
"1904"	"tug of war"	"m"	1
"1904"	"weightlifting"	"m"	2
"1904"	"wrestling free."	"m"	7
"1908"	"archery"	"m"	2
"1908"	"archery"	"w"	1
"1908"	"artistic g."	"m"	2
"1908"	"athletics"	"m"	26
"1908"	"boxing"	"m"	5
"1908"	"cycling track"	"m"	6
"1908"	"diving"	"m"	2
"1908"	"fencing"	"m"	4
"1908"	"figure skating"	"m"	2
"1908"	"figure skating"	"w"	1
"1908"	"figure skating"	"x"	1
"1908"	"football"	"m"	1
"1908"	"hockey"	"m"	1
"1908"	"jeu de paume"	"m"	1
"1908"	"lacrosse"	"m"	1
"1908"	"polo"	"m"	1
"1908"	"rackets"	"m"	2
"1908"	"rowing"	"m"	4
"1908"	"rugby"	"m"	1
"1908"	"sailing"	"x"	4
"1908"	"shooting"	"m"	15
"1908"	"swimming"	"m"	6
"1908"	"tennis"	"m"	4
"1908"	"tennis"	"w"	2
"1908"	"tug of war"	"m"	1
"1908"	"water motorspor"	"m"	3
"1908"	"water polo"	"m"	1
"1908"	"wrestling free."	"m"	5
"1908"	"wrestling gre-r"	"m"	4
"1912"	"artistic g."	"m"	4
"1912"	"athletics"	"m"	30
"1912"	"cycling road"	"m"	2
"1912"	"diving"	"m"	3
"1912"	"diving"	"w"	1
"1912"	"dressage"	"x"	1
"1912"	"eventing"	"x"	2
"1912"	"fencing"	"m"	5
"1912"	"football"	"m"	1
"1912"	"jumping"	"x"	2
"1912"	"modern pentath."	"m"	1
"1912"	"rowing"	"m"	4
"1912"	"sailing"	"x"	4
"1912"	"shooting"	"m"	18
"1912"	"swimming"	"m"	7
"1912"	"swimming"	"w"	2
"1912"	"tennis"	"m"	4
"1912"	"tennis"	"w"	2
"1912"	"tennis"	"x"	2
"1912"	"tug of war"	"m"	1
"1912"	"water polo"	"m"	1
"1912"	"wrestling gre-r"	"m"	4
"1920"	"archery"	"m"	10
"1920"	"artistic g."	"m"	4
"1920"	"athletics"	"m"	29
"1920"	"boxing"	"m"	8
"1920"	"cycling road"	"m"	2
"1920"	"cycling track"	"m"	4
"1920"	"diving"	"m"	3
"1920"	"diving"	"w"	2
"1920"	"dressage"	"x"	1
"1920"	"eventing"	"x"	1
"1920"	"fencing"	"m"	6
"1920"	"figure skating"	"m"	1
"1920"	"figure skating"	"w"	1
"1920"	"figure skating"	"x"	1
"1920"	"football"	"m"	1
"1920"	"hockey"	"m"	1
"1920"	"ice hockey"	"m"	1
"1920"	"jumping"	"x"	2
"1920"	"modern pentath."	"m"	1
"1920"	"polo"	"m"	1
"1920"	"rowing"	"m"	5
"1920"	"rugby"	"m"	1
"1920"	"sailing"	"m"	2
"1920"	"sailing"	"x"	12
"1920"	"shooting"	"m"	21
"1920"	"swimming"	"m"	7
"1920"	"swimming"	"w"	3
"1920"	"tennis"	"m"	2
"1920"	"tennis"	"w"	2
"1920"	"tennis"	"x"	1
"1920"	"tug of war"	"m"	1
"1920"	"vaulting"	"x"	2
"1920"	"water polo"	"m"	1
"1920"	"weightlifting"	"m"	5
"1920"	"wrestling free."	"m"	5
"1920"	"wrestling gre-r"	"m"	5
"1924"	"artistic g."	"m"	9
"1924"	"athletics"	"m"	27
"1924"	"boxing"	"m"	8
"1924"	"cycling road"	"m"	2
"1924"	"cycling track"	"m"	4
"1924"	"diving"	"m"	3
"1924"	"diving"	"w"	2
"1924"	"dressage"	"x"	1
"1924"	"eventing"	"x"	2
"1924"	"fencing"	"m"	6
"1924"	"fencing"	"w"	1
"1924"	"football"	"m"	1
"1924"	"jumping"	"x"	2
"1924"	"modern pentath."	"m"	1
"1924"	"polo"	"m"	1
"1924"	"rowing"	"m"	7
"1924"	"rugby"	"m"	1
"1924"	"sailing"	"x"	3
"1924"	"shooting"	"m"	10
"1924"	"swimming"	"m"	6
"1924"	"swimming"	"w"	5
"1924"	"tennis"	"m"	2
"1924"	"tennis"	"w"	2
"1924"	"tennis"	"x"	1
"1924"	"water polo"	"m"	1
"1924"	"weightlifting"	"m"	5
"1924"	"wrestling free."	"m"	7
"1924"	"wrestling gre-r"	"m"	6
"1928"	"artistic g."	"m"	7
"1928"	"artistic g."	"w"	1
"1928"	"athletics"	"m"	22
"1928"	"athletics"	"w"	5
"1928"	"boxing"	"m"	8
"1928"	"cycling road"	"m"	2
"1928"	"cycling track"	"m"	5
"1928"	"diving"	"m"	2
"1928"	"diving"	"w"	2
"1928"	"dressage"	"x"	2
"1928"	"eventing"	"x"	2
"1928"	"fencing"	"m"	5
"1928"	"fencing"	"w"	1
"1928"	"football"	"m"	1
"1928"	"hockey"	"m"	1
"1928"	"jumping"	"x"	2
"1928"	"modern pentath."	"m"	1
"1928"	"rowing"	"m"	7
"1928"	"sailing"	"x"	3
"1928"	"swimming"	"m"	6
"1928"	"swimming"	"w"	5
"1928"	"water polo"	"m"	1
"1928"	"weightlifting"	"m"	5
"1928"	"wrestling free."	"m"	7
"1928"	"wrestling gre-r"	"m"	6
"1932"	"artistic g."	"m"	11
"1932"	"athletics"	"m"	23
"1932"	"athletics"	"w"	6
"1932"	"boxing"	"m"	8
"1932"	"cycling road"	"m"	2
"1932"	"cycling track"	"m"	4
"1932"	"diving"	"m"	2
"1932"	"diving"	"w"	2
"1932"	"dressage"	"x"	2
"1932"	"eventing"	"x"	2
"1932"	"fencing"	"m"	6
"1932"	"fencing"	"w"	1
"1932"	"hockey"	"m"	1
"1932"	"jumping"	"x"	1
"1932"	"modern pentath."	"m"	1
"1932"	"rowing"	"m"	7
"1932"	"sailing"	"x"	4
"1932"	"shooting"	"m"	2
"1932"	"swimming"	"m"	6
"1932"	"swimming"	"w"	5
"1932"	"water polo"	"m"	1
"1932"	"weightlifting"	"m"	5
"1932"	"wrestling free."	"m"	7
"1932"	"wrestling gre-r"	"m"	7
"1936"	"artistic g."	"m"	8
"1936"	"artistic g."	"w"	1
"1936"	"athletics"	"m"	23
"1936"	"athletics"	"w"	6
"1936"	"basketball"	"m"	1
"1936"	"boxing"	"m"	8
"1936"	"canoe / kayak f"	"m"	9
"1936"	"cycling road"	"m"	2
"1936"	"cycling track"	"m"	4
"1936"	"diving"	"m"	2
"1936"	"diving"	"w"	2
"1936"	"dressage"	"x"	2
"1936"	"eventing"	"x"	2
"1936"	"fencing"	"m"	6
"1936"	"fencing"	"w"	1
"1936"	"football"	"m"	1
"1936"	"handball"	"m"	1
"1936"	"hockey"	"m"	1
"1936"	"jumping"	"x"	2
"1936"	"modern pentath."	"m"	1
"1936"	"polo"	"m"	1
"1936"	"rowing"	"m"	7
"1936"	"sailing"	"x"	4
"1936"	"shooting"	"m"	3
"1936"	"swimming"	"m"	6
"1936"	"swimming"	"w"	5
"1936"	"water polo"	"m"	1
"1936"	"weightlifting"	"m"	5
"1936"	"wrestling free."	"m"	7
"1936"	"wrestling gre-r"	"m"	7
"1948"	"artistic g."	"m"	8
"1948"	"artistic g."	"w"	1
"1948"	"athletics"	"m"	24
"1948"	"athletics"	"w"	9
"1948"	"basketball"	"m"	1
"1948"	"boxing"	"m"	8
"1948"	"canoe / kayak f"	"m"	8
"1948"	"canoe / kayak f"	"w"	1
"1948"	"cycling road"	"m"	2
"1948"	"cycling track"	"m"	4
"1948"	"diving"	"m"	2
"1948"	"diving"	"w"	2
"1948"	"dressage"	"x"	2
"1948"	"eventing"	"x"	2
"1948"	"fencing"	"m"	6
"1948"	"fencing"	"w"	1
"1948"	"football"	"m"	1
"1948"	"hockey"	"m"	1
"1948"	"jumping"	"x"	2
"1948"	"modern pentath."	"m"	1
"1948"	"rowing"	"m"	7
"1948"	"sailing"	"x"	5
"1948"	"shooting"	"m"	4
"1948"	"swimming"	"m"	6
"1948"	"swimming"	"w"	5
"1948"	"water polo"	"m"	1
"1948"	"weightlifting"	"m"	6
"1948"	"wrestling free."	"m"	8
"1948"	"wrestling gre-r"	"m"	8
"1952"	"artistic g."	"m"	8
"1952"	"artistic g."	"w"	7
"1952"	"athletics"	"m"	24
"1952"	"athletics"	"w"	9
"1952"	"basketball"	"m"	1
"1952"	"boxing"	"m"	10
"1952"	"canoe / kayak f"	"m"	8
"1952"	"canoe / kayak f"	"w"	1
"1952"	"cycling road"	"m"	2
"1952"	"cycling track"	"m"	4
"1952"	"diving"	"m"	2
"1952"	"diving"	"w"	2
"1952"	"dressage"	"x"	2
"1952"	"eventing"	"x"	2
"1952"	"fencing"	"m"	6
"1952"	"fencing"	"w"	1
"1952"	"football"	"m"	1
"1952"	"hockey"	"m"	1
"1952"	"jumping"	"x"	2
"1952"	"modern pentath."	"m"	2
